,benchmark,program,optimizer,score,cost,input_tokens,output_tokens,optimizer_cost,optimizer_input_tokens,optimizer_output_tokens
253,Iris,CoT,RuleInfer-lite-teacher-gpt4o,32.0,0.0,213225,8158,0.0,1689840,61639
254,Iris,CoT,RuleInfer-teacher-gpt4o,10.67,0.0,234975,6813,0.0,1876800,58446
255,Iris,Predict,Baseline,33.33,0.0,21525,1050,0.0,0,0
256,Iris,Predict,BootstrapFewShot,33.33,0.0,36375,1050,0.0,7077,210
257,Iris,Predict,BootstrapFewShot1_Teacher_gpt4o,32.0,0.0,51225,1051,0.0,0,0
258,Iris,Predict,BootstrapFewShot2_Teacher_gpt4o,33.33,0.0,51225,1052,0.0,0,0
259,Iris,Predict,BootstrapFewShot3_Teacher_gpt4o,33.33,0.0,51225,1050,0.0,0,0
260,Iris,Predict,BootstrapFewShotRandomSearch,33.33,0.0,36375,1050,0.0,643743,18648
261,Iris,Predict,BootstrapFewShotRandomSearch_Teacher_gpt4o,33.33,0.0,21525,1050,0.0,618240,15972
262,Iris,Predict,MIPROv2,30.67,0.0,40650,1053,0.0,869094,29324
263,Iris,Predict,MIPROv2-lite,33.33,0.0,22650,1050,0.0,469611,18363
264,Iris,Predict,MIPROv2-lite-teacher-gpt4o,33.33,0.0,21525,1050,0.0,484547,16137
265,Iris,Predict,MIPROv2-teacher-gpt4o,33.33,0.0,21525,1050,0.0,953814,28606
266,Iris,Predict,RuleInfer,33.33,0.0,189300,1091,0.0,1522495,17371
267,Iris,Predict,RuleInfer-lite,33.33,0.0,159675,1050,0.0,1331695,13743
268,Iris,Predict,RuleInfer-lite-teacher-gpt4o,33.33,0.0,154800,1050,0.0,1241400,8400
269,Iris,Predict,RuleInfer-teacher-gpt4o,40.0,0.0,184725,1055,0.0,1428660,8400
270,Judge,CoT,Baseline,26.57,0.0,713900,152095,0.0,0,0
271,Judge,CoT,BootstrapFewShot,54.76,0.0,2079235,54381,0.0,26852,3865
272,Judge,CoT,BootstrapFewShot1_Teacher_gpt4o,46.86,0.0,2317397,41746,0.0,0,0
273,Judge,CoT,BootstrapFewShot2_Teacher_gpt4o,45.43,0.0,2301718,40166,0.0,0,0
274,Judge,CoT,BootstrapFewShot3_Teacher_gpt4o,56.29,0.0,2304168,38728,0.0,0,0
275,Judge,CoT,BootstrapFewShotRandomSearch,56.57,0.0,1973639,68556,0.0,7325918,324140
276,Judge,CoT,BootstrapFewShotRandomSearch_Teacher_gpt4o,46.86,0.0,2317397,41746,0.0,8050450,269346
277,Judge,CoT,MIPROv2,55.14,0.0,2084718,61813,0.0,8758946,349663
278,Judge,CoT,MIPROv2-lite,56.0,0.0,1798068,78387,0.0,4406945,195269
279,Judge,CoT,MIPROv2-lite-teacher-gpt4o,47.71,0.0,1648618,48601,0.0,4229847,139936
280,Judge,CoT,MIPROv2-teacher-gpt4o,51.71,0.0,2029512,51309,0.0,9782178,275258
281,Judge,CoT,RuleInfer,53.43,0.0,2127068,50598,0.0,6713021,145994
282,Judge,CoT,RuleInfer-lite,53.71,0.0,2117968,50058,0.0,6894675,153819
283,Judge,CoT,RuleInfer-lite-teacher-gpt4o,47.14,0.0,2351768,59357,0.0,6689527,176468
284,Judge,CoT,RuleInfer-teacher-gpt4o,51.43,0.0,2307318,46073,0.0,6783116,139769
285,Judge,Predict,Baseline,53.14,0.0,630473,50886,0.0,0,0
286,Judge,Predict,BootstrapFewShot,55.80666666666667,0.0,2266368,5651,0.0,9799,128
287,Judge,Predict,BootstrapFewShot1_Teacher_gpt4o,47.43,0.0,2032918,5220,0.0,0,0
288,Judge,Predict,BootstrapFewShot2_Teacher_gpt4o,51.71,0.0,1940168,5249,0.0,0,0
289,Judge,Predict,BootstrapFewShot3_Teacher_gpt4o,56.86,0.0,1940168,4882,0.0,0,0
290,Judge,Predict,BootstrapFewShotRandomSearch,56.86,0.0,989568,4795,0.0,7002237,41119
291,Judge,Predict,BootstrapFewShotRandomSearch_Teacher_gpt4o,53.14,0.0,630473,50886,0.0,7196596,35383
292,Judge,Predict,MIPROv2,53.14,0.0,630473,50886,0.0,7533760,56598
293,Judge,Predict,MIPROv2-lite,53.14,0.0,630473,50886,0.0,3776319,30598
294,Judge,Predict,MIPROv2-lite-teacher-gpt4o,53.14,0.0,630473,50886,0.0,3196848,37961
295,Judge,Predict,MIPROv2-teacher-gpt4o,52.29,0.0,2002468,5011,0.0,8163187,50607
296,Judge,Predict,RuleInfer,55.71,0.0,2377668,5589,0.0,7287999,27090
297,Judge,Predict,RuleInfer-lite,55.71,0.0,2347568,5561,0.0,7220541,25170
298,Judge,Predict,RuleInfer-lite-teacher-gpt4o,53.43,0.0,1890118,5352,0.0,5303644,17346
299,Judge,Predict,RuleInfer-teacher-gpt4o,49.43,0.0,1913568,5363,0.0,5431732,17864
300,SWEUnderspecified,CoT,Baseline,54.5,0.0,1239844,57041,0.0,0,0
301,SWEUnderspecified,CoT,BootstrapFewShot,65.08333333333333,0.0,4962649,57060,0.0,12319,599
302,SWEUnderspecified,CoT,BootstrapFewShot1_Teacher_gpt4o,76.75,0.0,5015182,52405,0.0,0,0
303,SWEUnderspecified,CoT,BootstrapFewShot2_Teacher_gpt4o,77.75,0.0,5026782,54358,0.0,0,0
304,SWEUnderspecified,CoT,BootstrapFewShot3_Teacher_gpt4o,76.75,0.0,5019982,53933,0.0,0,0
305,SWEUnderspecified,CoT,BootstrapFewShotRandomSearch,74.5,0.0,3228782,88519,0.0,46627511,952297
306,SWEUnderspecified,CoT,BootstrapFewShotRandomSearch_Teacher_gpt4o,77.5,0.0,1880382,56163,0.0,49136453,809335
307,SWEUnderspecified,CoT,MIPROv2,78.25,0.0,3279582,74367,0.0,30161174,606375
308,SWEUnderspecified,CoT,MIPROv2-lite,80.25,0.0,6167182,49380,0.0,16984754,257469
309,SWEUnderspecified,CoT,MIPROv2-lite-teacher-gpt4o,76.75,0.0,4872382,51928,0.0,15697946,252986
310,SWEUnderspecified,CoT,MIPROv2-teacher-gpt4o,77.5,0.0,2815582,56143,0.0,27635353,529744
311,SWEUnderspecified,CoT,RuleInfer,67.0,0.0,4877182,52012,0.0,38037036,392898
312,SWEUnderspecified,CoT,RuleInfer-lite,43.75,0.0,4811582,56255,0.0,37859653,427257
313,SWEUnderspecified,CoT,RuleInfer-lite-teacher-gpt4o,76.75,0.0,5153982,52747,0.0,38849750,397134
314,SWEUnderspecified,CoT,RuleInfer-teacher-gpt4o,76.75,0.0,5181182,48333,0.0,39077750,362498
315,SWEUnderspecified,Predict,Baseline,31.25,0.0,1194382,10905,0.0,0,0
316,SWEUnderspecified,Predict,BootstrapFewShot,62.75,0.0,4420249,5200,0.0,17530,87
317,SWEUnderspecified,Predict,BootstrapFewShot1_Teacher_gpt4o,76.25,0.0,4814382,5200,0.0,0,0
318,SWEUnderspecified,Predict,BootstrapFewShot2_Teacher_gpt4o,76.5,0.0,4814382,5200,0.0,0,0
319,SWEUnderspecified,Predict,BootstrapFewShot3_Teacher_gpt4o,76.5,0.0,4814382,5200,0.0,0,0
320,SWEUnderspecified,Predict,BootstrapFewShotRandomSearch,74.5,0.0,3154382,5200,0.0,38258721,84436
321,SWEUnderspecified,Predict,BootstrapFewShotRandomSearch_Teacher_gpt4o,76.75,0.0,7286382,5200,0.0,45239705,82732
322,SWEUnderspecified,Predict,MIPROv2,76.0,0.0,1121182,13213,0.0,17420053,73728
323,SWEUnderspecified,Predict,MIPROv2-lite,76.5,0.0,1892382,5200,0.0,10570825,36514
324,SWEUnderspecified,Predict,MIPROv2-lite-teacher-gpt4o,76.0,0.0,3269982,5200,0.0,15408768,35315
325,SWEUnderspecified,Predict,MIPROv2-teacher-gpt4o,77.75,0.0,2208382,5200,0.0,25225534,62175
326,SWEUnderspecified,Predict,RuleInfer,37.25,0.0,3745982,5200,0.0,29270435,44013
327,SWEUnderspecified,Predict,RuleInfer-lite,40.0,0.0,3661982,5200,0.0,29646169,46922
328,SWEUnderspecified,Predict,RuleInfer-lite-teacher-gpt4o,76.0,0.0,4934382,5200,0.0,37221050,39000
329,SWEUnderspecified,Predict,RuleInfer-teacher-gpt4o,76.25,0.0,5020382,5200,0.0,37963550,39000
330,SWEValidity,CoT,Baseline,57.75,0.0,1264009,70063,0.0,0,0
331,SWEValidity,CoT,BootstrapFewShot,58.583333333333336,0.0,5517685,70190,0.0,19076,1226
332,SWEValidity,CoT,BootstrapFewShot1_Teacher_gpt4o,62.75,0.0,5431582,76967,0.0,0,0
333,SWEValidity,CoT,BootstrapFewShot2_Teacher_gpt4o,64.25,0.0,5441182,65503,0.0,0,0
334,SWEValidity,CoT,BootstrapFewShot3_Teacher_gpt4o,66.25,0.0,5456382,66688,0.0,0,0
335,SWEValidity,CoT,BootstrapFewShotRandomSearch,60.5,0.0,4304782,74976,0.0,50683495,1074961
336,SWEValidity,CoT,BootstrapFewShotRandomSearch_Teacher_gpt4o,68.75,0.0,3662782,57237,0.0,49411021,1001201
337,SWEValidity,CoT,MIPROv2,70.5,0.0,3769182,48171,0.0,25906100,594644
338,SWEValidity,CoT,MIPROv2-lite,61.0,0.0,1117231,62370,0.0,8882290,307730
339,SWEValidity,CoT,MIPROv2-lite-teacher-gpt4o,68.25,0.0,2199582,58592,0.0,11236089,294517
340,SWEValidity,CoT,MIPROv2-teacher-gpt4o,69.75,0.0,3279982,59178,0.0,26911786,594422
341,SWEValidity,CoT,RuleInfer,69.75,0.0,5735182,47248,0.0,44689100,359052
342,SWEValidity,CoT,RuleInfer-lite,59.0,0.0,5695982,60815,0.0,44203917,463388
343,SWEValidity,CoT,RuleInfer-lite-teacher-gpt4o,53.5,0.0,6050782,90946,0.0,45657034,684882
344,SWEValidity,CoT,RuleInfer-teacher-gpt4o,63.75,0.0,5669982,71689,0.0,42795740,548099
345,SWEValidity,Predict,Baseline,57.75,0.0,1241182,17679,0.0,0,0
346,SWEValidity,Predict,BootstrapFewShot,55.333333333333336,0.0,5236782,5200,0.0,18845,91
347,SWEValidity,Predict,BootstrapFewShot1_Teacher_gpt4o,61.5,0.0,5153982,5200,0.0,0,0
348,SWEValidity,Predict,BootstrapFewShot2_Teacher_gpt4o,56.0,0.0,5153982,5200,0.0,0,0
349,SWEValidity,Predict,BootstrapFewShot3_Teacher_gpt4o,56.25,0.0,5153982,5200,0.0,0,0
350,SWEValidity,Predict,BootstrapFewShotRandomSearch,61.5,0.0,4145182,5200,0.0,47226069,92651
351,SWEValidity,Predict,BootstrapFewShotRandomSearch_Teacher_gpt4o,61.5,0.0,5153982,5200,0.0,48771305,91532
352,SWEValidity,Predict,MIPROv2,61.25,0.0,1082382,9714,0.0,16506362,87796
353,SWEValidity,Predict,MIPROv2-lite,61.25,0.0,5331982,5200,0.0,17816140,41147
354,SWEValidity,Predict,MIPROv2-lite-teacher-gpt4o,64.25,0.0,3433982,5200,0.0,15697062,40861
355,SWEValidity,Predict,MIPROv2-teacher-gpt4o,66.5,0.0,1578782,5200,0.0,26625738,67153
356,SWEValidity,Predict,RuleInfer,50.0,0.0,5463982,5200,0.0,42607552,42533
357,SWEValidity,Predict,RuleInfer-lite,60.5,0.0,5487182,5200,0.0,42645920,47064
358,SWEValidity,Predict,RuleInfer-lite-teacher-gpt4o,58.5,0.0,5743982,5200,0.0,43261550,39000
359,SWEValidity,Predict,RuleInfer-teacher-gpt4o,57.75,0.0,5637182,5200,0.0,42257750,39000
360,Scone,CoT,Baseline,76.2,0.0,124270,39911,0.0,0,0
361,Scone,CoT,BootstrapFewShot,80.33333333333333,0.0,434770,38826,0.0,1949,277
362,Scone,CoT,BootstrapFewShot1_Teacher_gpt4o,69.4,0.0,435770,42408,0.0,0,0
363,Scone,CoT,BootstrapFewShot2_Teacher_gpt4o,69.4,0.0,436270,42009,0.0,0,0
364,Scone,CoT,BootstrapFewShot3_Teacher_gpt4o,77.0,0.0,438770,42319,0.0,0,0
365,Scone,CoT,BootstrapFewShotRandomSearch,75.4,0.0,377270,44658,0.0,3573359,443305
366,Scone,CoT,BootstrapFewShotRandomSearch_Teacher_gpt4o,71.0,0.0,371770,45328,0.0,3614273,503866
367,Scone,CoT,MIPROv2,84.0,0.0,287270,39156,0.0,2022538,311419
368,Scone,CoT,MIPROv2-lite,76.2,0.0,355270,38353,0.0,1305378,159377
369,Scone,CoT,MIPROv2-lite-teacher-gpt4o,76.2,0.0,124270,39911,0.0,1142576,169613
370,Scone,CoT,MIPROv2-teacher-gpt4o,76.2,0.0,124270,39911,0.0,2339328,343362
371,Scone,CoT,RuleInfer,77.6,0.0,1545770,37160,0.0,9344549,241686
372,Scone,CoT,RuleInfer-lite,80.0,0.0,1371770,36423,0.0,8482733,239633
373,Scone,CoT,RuleInfer-lite-teacher-gpt4o,72.0,0.0,1377270,36010,0.0,8362489,229647
374,Scone,CoT,RuleInfer-teacher-gpt4o,69.4,0.0,1498270,36541,0.0,9032701,230110
375,Scone,Predict,Baseline,59.2,0.0,107770,6500,0.0,0,0
376,Scone,Predict,BootstrapFewShot,79.86666666666666,0.0,290270,6500,0.0,1513,52
377,Scone,Predict,BootstrapFewShot1_Teacher_gpt4o,79.6,0.0,290270,6500,0.0,0,0
378,Scone,Predict,BootstrapFewShot2_Teacher_gpt4o,79.8,0.0,290270,6500,0.0,0,0
379,Scone,Predict,BootstrapFewShot3_Teacher_gpt4o,80.2,0.0,290270,6500,0.0,0,0
380,Scone,Predict,BootstrapFewShotRandomSearch,79.6,0.0,290270,6500,0.0,2557719,74711
381,Scone,Predict,BootstrapFewShotRandomSearch_Teacher_gpt4o,79.6,0.0,290270,6500,0.0,2542813,74122
382,Scone,Predict,MIPROv2,64.0,0.0,259770,6500,0.0,1478161,59136
383,Scone,Predict,MIPROv2-lite,77.4,0.0,254770,6544,0.0,919632,34598
384,Scone,Predict,MIPROv2-lite-teacher-gpt4o,77.4,0.0,254770,6544,0.0,900222,34092
385,Scone,Predict,MIPROv2-teacher-gpt4o,78.6,0.0,260270,6500,0.0,1717968,58824
386,Scone,Predict,RuleInfer,82.4,0.0,1175770,6500,0.0,7115169,47584
387,Scone,Predict,RuleInfer-lite,78.0,0.0,1079770,6500,0.0,6255969,45671
388,Scone,Predict,RuleInfer-lite-teacher-gpt4o,60.0,0.0,1065270,6500,0.0,6297321,39313
389,Scone,Predict,RuleInfer-teacher-gpt4o,66.4,0.0,1253770,6500,0.0,7142440,39289
390,hover,MultiHopSummarize,Baseline,31.0,0.0,1455248,269655,0.0,0,0
391,hover,MultiHopSummarize,BootstrapFewShot,36.199999999999996,0.0,6586768,277809,0.0,53267,11272
392,hover,MultiHopSummarize,BootstrapFewShot1_Teacher_gpt4o,38.6,0.0,6568016,267489,0.0,0,0
393,hover,MultiHopSummarize,BootstrapFewShot2_Teacher_gpt4o,36.6,0.0,6591830,271715,0.0,0,0
394,hover,MultiHopSummarize,BootstrapFewShot3_Teacher_gpt4o,36.0,0.0,6544477,291608,0.0,0,0
395,hover,MultiHopSummarize,BootstrapFewShotRandomSearch,33.8,0.0,2621077,335411,0.0,51743369,3087861
396,hover,MultiHopSummarize,BootstrapFewShotRandomSearch_Teacher_gpt4o,38.6,0.0,6568016,267489,0.0,51527055,3073474
397,hover,MultiHopSummarize,MIPROv2,42.4,0.0,5058347,353967,0.0,30492707,2388967
398,hover,MultiHopSummarize,MIPROv2-lite,36.6,0.0,4416390,283261,0.0,13886915,1024568
399,hover,MultiHopSummarize,MIPROv2-lite-teacher-gpt4o,35.2,0.0,4387707,283130,0.0,13266131,1077864
400,hover,MultiHopSummarize,MIPROv2-teacher-gpt4o,40.2,0.0,2744209,350310,0.0,24888041,2466693
401,hover,MultiHopSummarize,RuleInfer,29.8,0.0,7179252,280141,0.0,43257944,1705160
402,hover,MultiHopSummarize,RuleInfer-lite,32.2,0.0,7416401,273635,0.0,41565031,1694883
403,hover,MultiHopSummarize,RuleInfer-lite-teacher-gpt4o,34.4,0.0,8141560,268717,0.0,48828044,1598416
404,hover,MultiHopSummarize,RuleInfer-teacher-gpt4o,34.4,0.0,8227723,290595,0.0,49158661,1763800
405,hover,Predict,Baseline,31.4,0.0,1481533,158137,0.0,0,0
406,hover,Predict,BootstrapFewShot,32.199999999999996,0.0,6088852,116443,0.0,52289,5137
407,hover,Predict,BootstrapFewShot1_Teacher_gpt4o,37.6,0.0,6467161,155621,0.0,0,0
408,hover,Predict,BootstrapFewShot2_Teacher_gpt4o,40.0,0.0,6853846,188157,0.0,0,0
409,hover,Predict,BootstrapFewShot3_Teacher_gpt4o,39.8,0.0,6523386,161773,0.0,0,0
410,hover,Predict,BootstrapFewShotRandomSearch,37.4,0.0,4934181,107050,0.0,52049449,1686050
411,hover,Predict,BootstrapFewShotRandomSearch_Teacher_gpt4o,37.6,0.0,6372231,134787,0.0,50322583,1567632
412,hover,Predict,MIPROv2,39.0,0.0,4320294,149773,0.0,28353070,1121630
413,hover,Predict,MIPROv2-lite,36.4,0.0,4161894,136807,0.0,13458022,555327
414,hover,Predict,MIPROv2-lite-teacher-gpt4o,35.4,0.0,4829924,144603,0.0,13205443,552123
415,hover,Predict,MIPROv2-teacher-gpt4o,41.2,0.0,3637097,161458,0.0,28396016,1204831
416,hover,Predict,RuleInfer,36.0,0.0,7459248,143418,0.0,44244096,894169
417,hover,Predict,RuleInfer-lite,34.8,0.0,6915851,141855,0.0,43329212,885864
418,hover,Predict,RuleInfer-lite-teacher-gpt4o,34.6,0.0,7042653,100837,0.0,42343063,609733
419,hover,Predict,RuleInfer-teacher-gpt4o,36.2,0.0,8205527,143448,0.0,49245931,844920
